,Name,4RR,4R,3RR,3R,2RR,2R,1RR,1R,15,4L,3RL,3L,2RL,2L,1RL,1L
0,IL-23 (A4)_D1,35.25,121.15,74.05,72.35,55.75,256.75,60.65,67.1,,48.25,128.25,47.35,232.1,80.25,176.3,63.1
1,IL-23 (A4)_D8,652.44995,380.6,,323.75,161.8,366.35,169.0,231.6,267.0,348.65002,479.45,217.5,394.7,242.25,210.55,88.5
2,IL-1α (A5)_D1,8.745,353.19,76.095,1230.875,482.11,511.2,64.534996,121.265,,139.73,67.155,27.369999,531.31,248.96,70.075,7.86
3,IL-1α (A5)_D8,379.055,1189.67,,127.765,480.43,19.369999,101.585,28.82,843.95996,554.06995,470.41498,216.97,36.65,253.79999,977.19495,14.495
4,IFN-γ (A6)_D1,11.49,15.6050005,9.15,3.065,11.1,23.02,11.355,167.935,,48.07,33.305,7.665,39.235,14.370001,19.255001,31.93
5,IFN-γ (A6)_D8,39.71,46.190002,,65.850006,22.06,20.75,39.7,17.3,159.485,59.510002,95.425,20.75,37.85,16.04,20.314999,453.33502
6,TNF-α (A7)_D1,31.685,35.54,21.98,14.295,42.489998,33.059998,12.605,18.75,,16.505001,33.12,21.39,25.895,25.645,18.145,29.66
7,TNF-α (A7)_D8,763.62,1015.35,,276.155,1089.73,815.86,1169.21,2365.34,360.745,835.08997,1225.135,2020.865,5745.35,1348.745,1374.935,3153.69
8,MCP-1 (A8)_D1,61.71,16.385,30.93,30.099998,67.45,44.155,24.675,26.994999,,11.58,43.824997,116.785,26.544998,19.150002,234.83,662.5
9,MCP-1 (A8)_D8,63.265,2198.79,,2058.865,664.94,407.115,80.8,197.92,4459.365,4799.8496,4187.2197,382.085,998.19,784.25,156.08,235.905
10,IL-12p70 (A10)_D1,0.025,0.32,0.355,0.0,1.025,2.95,0.71,3.17,,0.455,1.345,0.17,5.2200003,0.89,1.435,1.425
11,IL-12p70 (A10)_D8,17.17,9.28,,10.74,3.6,6.325,5.24,2.89,8.615,7.805,11.57,3.67,9.74,4.95,3.565,8.424999
12,IL-1β (B2)_D1,4.63,16.84,115.024994,8.905,3.01,4.955,0.545,9.885,,4.695,14.58,5.0499997,45.635002,5.24,2.42,7.075
13,IL-1β (B2)_D8,26.885,21.835,,5.6499996,9.11,4.63,19.744999,7.69,30.935,16.085,34.485,15.91,27.87,9.865,4.02,14.59
14,IL-10 (B3)_D1,109.45,84.354996,233.985,168.165,227.84,157.415,212.73001,256.335,,76.315,133.285,139.575,72.68,102.75,38.265,79.985
15,IL-10 (B3)_D8,409.555,2.605,,99.53,151.09,119.399994,230.36,336.95,175.325,207.025,202.475,474.72998,268.525,157.66501,118.96,331.735
16,IL-6 (B4)_D1,18.064999,15.76,26.135,18.785,21.145,27.45,24.025,7.8650002,,50.765,35.555,22.744999,27.775002,22.740002,8.345,112.2
17,IL-6 (B4)_D8,784.005,3470.96,,1464.105,843.83,650.80505,484.58002,1581.215,8475.436,11900.97,14553.551,2811.49,4951.0303,875.06,627.74,4798.715
18,IL-27 (B5)_D1,370.345,512.225,370.875,206.70001,180.57,547.32,118.05,235.98001,,141.035,3549.6802,288.64,796.975,104.735,177.03,247.41501
19,IL-27 (B5)_D8,642.235,1917.21,,2470.75,403.87,895.57,206.70001,298.89502,2375.645,2196.3901,1838.23,681.17004,835.01,332.525,315.91998,524.09
20,IL-17A (B6)_D1,10.275,12.025,95.535,27.34,18.25,29.105,13.93,26.18,,10.015,7.795,7.785,20.36,7.955,10.51,11.48
21,IL-17A (B6)_D8,5.185,4.155,,8.905,1.83,9.35,4.0950003,1.97,9.76,7.9,9.610001,2.635,11.18,2.2199998,1.5,3.1100001
22,IFN-β (B7)_D1,46.399998,42.6,80.65,14.85,18.1,50.55,20.9,30.2,,70.899994,48.5,17.95,76.1,20.9,35.0,20.9
23,IFN-β (B7)_D8,2959.6,69540.05,,4917.35,33254.1,37047.05,7945.35,25671.1,3058.65,71420.41,42549.25,12832.3,102623.75,78710.75,10032.85,6840.9
24,GM-CSF (B9)_D1,0.0,0.0,0.0,0.0,0.63,3.14,0.0,2.065,,0.0,0.0,0.0,0.23,0.0,0.255,0.0
25,GM-CSF (B9)_D8,18.75,4.395,,3.585,2.26,1.86,3.24,1.425,9.505,7.9100003,10.71,1.4649999,0.23,0.43,2.655,2.6200001
