,Name,4RR_REP1,4RR_REP2,4R_REP1,4R_REP2,3RR_REP1,3RR_REP2,3R_REP1,3R_REP2,2RR_REP1,2RR_REP2,2R_REP1,2R_REP2,1RR_REP1,1RR_REP2,1R_REP1,1R_REP2,15_REP1,15_REP2,4L_REP1,4L_REP2,3RL_REP1,3RL_REP2,3L_REP1,3L_REP2,2RL_REP1,2RL_REP2,2L_REP1,2L_REP2,1RL_REP1,1RL_REP2,1L_REP1,1L_REP2
0,IL-23 (A4)_D1,597.8,707.1,373.5,387.7,,,401.8,245.7,161.8,,316.7,416.0,203.5,134.5,231.6,231.6,231.6,302.4,316.7,380.6,472.4,486.5,217.5,217.5,430.1,359.3,267.0,217.5,196.5,224.6,69.2,107.8
1,IL-23 (A4)_D8,57.0,13.5,107.8,134.5,148.1,0.0,69.2,75.5,23.3,88.2,330.9,182.6,13.5,107.8,94.7,39.5,,,94.7,1.8,94.7,161.8,94.7,0.0,161.8,302.4,121.0,39.5,121.0,231.6,69.2,57.0
2,IL-1α (A5)_D1,366.38,391.73,1142.43,1236.91,,,137.99,117.54,480.43,,18.17,20.57,100.59,102.58,28.26,29.38,775.57,912.35,520.41,587.73,427.4,513.43,210.21,223.73,34.85,38.45,250.17,257.43,942.97,1011.42,13.41,15.58
3,IL-1α (A5)_D8,9.45,8.04,361.99,344.39,72.14,80.05,1263.14,1198.61,466.96,497.26,640.73,381.67,63.87,65.2,116.67,125.86,,,162.4,117.06,61.74,72.57,29.83,24.91,665.16,397.46,204.38,293.54,63.71,76.44,8.18,7.54
4,IFN-γ (A6)_D1,36.02,43.4,48.05,44.33,,,66.79,64.91,22.06,,19.88,21.62,42.47,36.93,16.45,18.15,149.22,169.75,56.46,62.56,88.4,102.45,20.75,20.75,36.93,38.77,13.93,18.15,19.88,20.75,441.0,465.67
5,IFN-γ (A6)_D8,13.1,9.88,14.76,16.45,11.48,6.82,4.66,1.47,9.1,13.1,28.74,17.3,7.95,14.76,169.3,166.57,,,54.59,41.55,27.84,38.77,10.67,4.66,40.62,37.85,16.45,12.29,16.45,22.06,36.02,27.84
6,TNF-α (A7)_D1,732.64,794.6,981.61,1049.09,,,295.79,256.52,1089.73,,761.98,869.74,1186.6,1151.82,2341.35,2389.33,340.03,381.46,773.02,897.16,1211.53,1238.74,2025.29,2016.44,5778.87,5711.83,1337.86,1359.63,1354.51,1395.36,2939.83,3367.55
7,TNF-α (A7)_D8,33.16,30.21,37.92,33.16,21.98,21.98,16.55,12.04,40.69,44.29,37.92,28.2,13.74,11.47,18.75,18.75,,,19.83,13.18,30.21,36.03,25.13,17.65,24.09,27.7,26.16,25.13,14.31,21.98,33.16,26.16
8,MCP-1 (A8)_D1,60.35,66.18,2005.68,2391.9,,,2160.97,1956.76,664.94,,392.76,421.47,82.11,79.49,191.15,204.69,4122.7,4796.03,4614.11,4985.59,3995.27,4379.17,378.08,386.09,968.35,1028.03,773.4,795.1,159.09,153.07,233.37,238.44
9,MCP-1 (A8)_D8,62.52,60.9,17.52,15.25,29.24,32.62,30.96,29.24,67.7,67.2,46.55,41.76,23.72,25.63,25.63,28.36,,,11.58,11.58,41.76,45.89,121.76,111.81,27.46,25.63,19.68,18.62,220.53,249.13,684.88,640.12
