,Name,ICAM,p30,2A,p30 + 2A
0,D2-250212,28898.568302800006,143843.05255799997,24201.118922666654,8861.528624399987
1,D2-250212,10070.082074799997,213118.43943449995,7596.569635333322,245411.08389120002
2,D2-250212,-6274.865345400001,242897.501635,78779.281326,13356.895386200005
3,D2-250212,3381.5622655999978,12469.951702499999,23065.386205333314,-1576.7575135999941
4,D2-250212,27004.46613,95263.01570149997,321719.80870166654,51547.699873800026
5,D2-250212,31567.191313599986,167963.79353999998,108386.64108099995,428242.14934760006
6,D2-250212,37141.20109799999,197475.9483915,130159.08814066666,66009.14061599999
7,D2-250212,5425.805576400002,22479.059364999994,149010.552423,68264.41196999999
8,D2-250212,30767.46033599999,703643.8330845002,134455.40179966667,10815.25590180001
9,D2-250212,31924.530864199987,713261.5283535,63947.92657599998,74052.0696872
10,D2-250212,15899.2335078,783779.5332185,9707.51511199998,168768.5063148
11,D2-250212,59536.17488719997,139433.209475,10810.946012999993,55682.46933119999
12,D2-250212,19316.95474919999,176393.12169599996,28648.458431333318,52261.26544239999
13,D2-250212,109452.017864,55645.110345,100396.03512266665,61152.42147840001
0,D1-150125,96007.12812599997,848168.1264363999,501118.9346405,371299.534952
1,D1-150125,-83204.79514200002,130374.6036236,319779.0390951,648176.6835121999
2,D1-150125,14480.17504500001,13547.856077100005,13259.366657899998,347597.11990409996
3,D1-150125,-57033.75347600001,131119.184895,91394.4078816,-18886.982640899994
4,D1-150125,-843.4737000000314,-4714.3996357,31976.592647700018,798015.1393607
5,D1-150125,-19368.05753400002,339.8434515000117,120961.58921549999,37699.6316105
6,D1-150125,-3284.4370100000087,15512.40469120002,1919409.8784523997,591425.9965540001
7,D1-150125,81903.80809799989,238309.9173158,1093705.0024626001,661057.8046255
8,D1-150125,-7633.453997000062,127097.28289143849,83270.14719930002,672654.921723
9,D1-150125,141927.21367899998,4845.479867800008,98406.01206810001,-1272.701101499988
10,D1-150125,152511.19897499983,261020.0807466,242608.5144407,12038.4507477
11,D1-150125,-79138.00764000003,25856.17170900001,1731128.7220092,911855.0788209
12,D1-150125,-9589.811520000047,-982.4987533000021,100902.89198990002,165642.6135628
13,D1-150125,18498.312734999992,149859.51063550002,530157.6312994,-3067.1355594999986
14,D1-150125,40088.60404399999,8802.0378633,306337.3932725,150636.3083797
15,D1-150125,-189142.4855040001,250588.06616479997,32895.141963899994,590285.2859708
16,D1-150125,2916.949289999975,94867.8691578,194564.74398199999,271995.47911019996
17,D1-150125,13325.168747999996,191993.6828529,365176.02309999993,402499.31702520006
18,D1-150125,-108375.72768000007,70135.33857949999,514123.5505037001,173279.73537559996
19,D1-150125,22780.006792879965,279059.37949260004,32370.40426880002,5659.676075900003
20,D1-150125,34162.93097999989,124733.19315930005,800380.277613,450054.0142345
21,D1-150125,73492.67288999999,128355.33192489999,437029.5910272001,836722.2838182
22,D1-150125,17906.043852000003,32122.568670000022,29109.91157870002,916019.2444795
23,D1-150125,-85696.51612600009,82673.9302905,87486.387372,207509.9370021
24,D1-150125,196337.89121099992,77502.27123929998,57436.98289880001,105034.65932549999
0,D1-250214,39624.66208575,64226.63511200002,45338.05938200001,385029.2395825001
1,D1-250214,11919.102210750003,21792.501120000008,213098.47735800003,203870.7847155
2,D1-250214,44508.21194962501,654476.202593,92098.011313,317329.46225700004
3,D1-250214,26873.608748250008,103349.653056,76640.02567399999,216569.594066
4,D1-250214,11474.619174374999,296169.75132000004,234011.453562,273832.97762475
5,D1-250214,13678.069752375006,795444.69209,9852.124655999995,290961.3842306376
6,D1-250214,12787.821861875003,190066.14263000002,143499.06999000005,59441.96041975
7,D1-250214,40348.73274437501,421328.80643500003,105231.21549999999,579145.7010960001
8,D1-250214,20690.48371950001,126663.43236,605851.1865669999,14086.565300250004
9,D1-250214,7359.323087875007,1088691.426407,303129.813818,178844.87486449996
10,D1-250214,20365.026671000007,154387.334388,13055.830427999994,254313.18452700003
11,D1-250214,17173.01849437501,167883.483723,448340.737536,665994.70642975
12,D1-250214,35584.77025675001,131325.704211,681987.2875539999,699343.79115775
13,D1-250214,11057.01375687501,502385.54705700005,134590.94698799998,91864.10380350001
14,D1-250214,24255.83046287502,68058.38127900001,31582.388544000005,820932.9723815
15,D1-250214,14540.789594250007,46021.966911,151868.71013999998,50014.796332499995
16,D1-250214,7359.323087875007,155740.413724,131240.48885,106021.0868625
17,D1-250214,18644.714406875006,47875.35432,334132.853595,237632.68304250002
18,D1-250214,48578.02205687501,88781.15570400002,164179.874777,548936.2004962501
19,D1-250214,1918.6081378750023,242148.72632100005,1440202.2529250002,368973.4692835
20,D1-250214,19892.746882125,467304.216821,66227.99252,111644.54013475
21,D1-250214,46451.827004250015,553577.63432,39450.435181999994,96483.0023835
