,Name,ICAM,p30,KLRG,p30 + KLRG
0,D1_250206,-40208.31073140004,-12927.406310999999,132052.7771933333,135558.79925000004
1,D1_250206,154928.66103400002,366783.33225700003,2923.868728666668,-628.0370239999902
2,D1_250206,-5232.243765000021,202642.79979900006,354747.6532583333,107756.45836400002
3,D1_250206,-10554.81649279999,493312.885335,58033.95211333334,289581.259786
4,D1_250206,2317.5918919999676,254959.89494399994,256525.890302,101997.452992
5,D1_250206,47174.1287472,153353.86260999998,56558.12859733333,499772.72592000006
6,D1_250206,11077.576321114268,86091.16338000003,140545.99726600002,927294.5674079999
7,D1_250206,3324.4208447999554,240499.84551600006,207077.9237366667,461493.24072
8,D1_250206,4776.3115903999715,69842.75407800003,186170.9169156667,194896.09097200003
9,D1_250206,-124.38689880001766,56520.113148,245480.94445600003,196691.871816
10,D1_250206,12952.686686799978,861045.432725,128960.60369500003,319824.05887600005
11,D1_250206,-16159.254702000006,192098.69242200002,33290.168074000016,2271319.9146000003
12,D1_250206,-9453.379818400019,2697844.1948519996,194483.78633566666,117206.820326
13,D1_250206,-6238.259116800022,470465.521672,357425.8482160001,1924493.9119200003
0,D1_241206,10823.208646799998,244297.08337145462,10659.796866000004,13474.6393226
1,D1_241206,85.1475655999966,303976.1536007273,11616.580850000006,8082.389949799999
2,D1_241206,2222.0432284000053,143664.4451750909,79223.28607199999,34077.144622199994
3,D1_241206,37093.59328719999,42366.80856218182,12076.175280000003,25253.456056199997
4,D1_241206,41248.51018319999,126438.33594772726,10823.160668000004,41578.6272681
5,D1_241206,22126.280894999996,172667.9202932727,11139.748775000007,19508.677007399994
6,D1_241206,9583.506121000006,47806.744374,18741.603359999994,119101.05234719999
7,D1_241206,112021.94057880001,153715.83828654548,87311.97275500001,54810.356002430424
8,D1_241206,5247.598099199997,127535.40033163638,9062.008648000003,296002.6362275
9,D1_241206,123086.33249219999,33113.56864909091,91160.925842,40235.3710491
10,D1_241206,8516.795369600004,106524.81611672728,32490.33630400001,33947.621316699995
11,D1_241206,17009.005472799996,312940.21155818185,21124.043556000004,333686.5444682
12,D1_241206,129116.7969656,500440.1152410909,32994.06371334483,16459.268906599995
13,D1_241206,336.4138367999949,42664.961855454545,41904.852498,43693.1133137
14,D1_241206,-5952.6360528000005,112174.37499600001,27303.26648,53568.303124200014
15,D1_241206,6075.7626617999995,152870.3632705455,17759.13774900001,32518.223815799996
16,D1_241206,10561.833502200003,615904.6441886363,9286.698820000005,13472.509407799997
17,D1_241206,17913.70065639999,150450.13267090908,15903.253653000007,29855.691743799995
18,D1_241206,19301.177227199994,138153.23419054545,8394.858177000002,21113.013739200003
19,D1_241206,18762.7631738,70677.92709527272,148929.25570799998,38549.9901069
20,D1_241206,11108.04098559999,343820.3352247272,90115.75853700002,24327.323223700005
21,D1_241206,22658.413744371424,320594.2835279091,27246.339121000005,38626.01418119999
0,D2_160125,-30896.757048307685,352546.19995555555,15116.640468500002,763245.3665942857
1,D2_160125,292335.77696676925,75200.711648,19276.635087000002,209753.98625571432
2,D2_160125,-389.710834230762,191770.90107555554,124074.78300225,74785.16156314287
3,D2_160125,-9111.82959230768,526916.5106666667,64768.818449625,38440.38574628573
4,D2_160125,-14626.604984538426,178558.81093477778,436004.017080625,1165214.9353035714
5,D2_160125,12866.108056538505,2282622.295312222,95635.44508074998,153917.753042
6,D2_160125,45828.245117153856,233295.00379244442,396051.0588965,1096512.3257880001
7,D2_160125,16649.14142276923,95015.28198044446,16486.63800225,1064567.7182171426
8,D2_160125,-1365.7022711538302,232786.09734166664,191236.179798125,140768.0171357143
9,D2_160125,-3126.080683846143,613773.4406454444,751058.506435125,65909.83684114287
10,D2_160125,-25451.142716615344,126750.43583999999,67902.64532625,1224858.4601844286
11,D2_160125,14086.076504615397,148982.7095018889,246372.656837125,69757.10583200003
12,D2_160125,17294.956105769263,1474549.4941893332,145730.147959,4342.517527714284
13,D2_160125,-18391.11334038461,1096717.8785042223,28163.658215874995,401867.8479417143
14,D2_160125,142185.46936507692,540613.7284484444,57851.422807749994,123563.84863271433
15,D2_160125,8338.303022076958,239399.12225488882,40353.765243000016,-4361.670101142838
16,D2_160125,-17902.785282307683,860004.9836761111,63529.959223625,18907.17164328572
17,D2_160125,-4204.560116769222,868892.1805134445,234217.2698225,201001.16299728575
18,D2_160125,-11490.719987999997,1538348.8574295556,448020.1161460001,39810.469346285696
19,D2_160125,117478.32133530776,168866.1077624445,209677.88229412498,612005.0544188572
20,D2_160125,-66267.66629446152,649548.8125767778,52976.50714824999,1585759.9852560002
21,D2_160125,409588.2845443847,926969.5432782221,39826.611313125,302261.97922057146
22,D2_160125,-3520.9734738461557,201416.74944355554,134673.82769399998,36334.01056457143
23,D2_160125,378849.4214332308,906680.7205060001,42285.08150999998,586661.3463659999
24,D2_160125,-31550.302818461438,1166700.8588311113,252303.91222975,-6998.009850857125
25,D2_160125,-4550.689279692306,171089.320647,36473.288688375,444847.2154457142
26,D2_160125,-15406.689166076903,411902.466725,263337.95434224996,685128.8436865715
27,D2_160125,-17054.491223384626,1505419.452676667,197062.27409600004,143257.7565194286
