,Name,ICAM,p30,KLRG1,p30 + KLRG1
0,D2-250212,70516.98470970002,299404.0729504444,325853.2701059999,1079951.2983342002
1,D2-250212,3377.0677922999894,120294.447066,11935.040644000008,822890.7673775998
2,D2-250212,7452.219568199973,57523.83577422223,158868.30371999997,414900.26884199993
3,D2-250212,-32675.654962200002,473688.85321077786,29826.343829999998,53058.79464600001
4,D2-250212,50376.465540799996,90132.47812222224,355367.15367299994,35898.375308
5,D2-250212,15700.502542900009,28753.28301511114,215869.21766799997,43230.17439999999
6,D2-250212,23135.3851479,316171.2648515556,22694.46220600001,416637.2955888
7,D2-250212,47012.80716629999,643445.2423983334,65982.009197,604765.9462685998
8,D2-250212,-39895.248851499986,108047.22623644443,26329.93286,610638.6908160001
9,D2-250212,-29638.711421899992,213800.6287342222,76478.641533,414031.04693740007
10,D2-250212,12767.502125700004,1146652.2567084443,21466.580167999986,67826.6384384
11,D2-250212,140691.7192497,78478.94397333334,70583.05004199999,212904.8756656
12,D2-250212,16388.299502900016,148460.92741666664,29591.33009600002,129782.36813440005
13,D2-250212,31539.83748409999,69073.59433333333,31325.024999999994,32318.005574400042
14,D2-250212,8275.735280299996,617662.976248889,36244.731792000006,1325137.9540368002
15,D2-250212,-18601.22314670001,372244.64969211107,41745.012795999995,52310.551984600024
16,D2-250212,43063.6495245,184090.73012666666,55328.06941200001,1920758.214477
17,D2-250212,-19815.259305600004,206443.52971111116,118959.622857,727337.627611
18,D2-250212,-22507.625517899985,156052.85876444442,160796.9752,72476.70534240003
19,D2-250212,-40541.85157110001,36659.89927600001,92547.978582,104182.33300860002
20,D2-250212,24685.2167034,60770.89665911111,18183.841919999995,189033.34603840005
21,D2-250212,-26176.521910500007,387640.27919555554,504184.4973799999,741423.7106208
22,D2-250212,-34205.6429412,117511.30778933334,128800.66223699998,658137.433986
23,D2-250212,544.3770561999845,1002052.4545347777,-2342.2396799999988,-12005.393785599968
24,D2-250212,-2274.6601793999944,220181.5693537778,12645.241112000003,513288.1221132001
25,D2-250212,1238.3201011999918,541455.3751753333,50123.62954999998,347144.7344886
26,D2-250212,-25111.438955899997,146130.12252977776,546674.5349999999,1050883.8578552
27,D2-250212,-18947.3542684,115723.77278266664,7066.452860999998,-1722.6842617999646
28,D2-250212,-9753.713864599995,167652.2512328889,96548.970302,47731.39890120001
29,D2-250212,-11324.4745884,74119.89653111112,-20870.429424000016,520337.3724796
30,D2-250212,-55914.760995000004,936569.7771291109,61190.57402500001,-13661.126901599986
31,D2-250212,-77284.08064710005,460817.6304572406,12454.266401999994,701356.9257684
32,D2-250212,543542.8044734999,151934.5073013333,102890.84401399997,1855708.5399423998
33,D2-250212,-13185.800072900005,1991640.3646639995,14390.813343999995,2131341.2883592
34,D2-250212,-39430.753336800015,80800.62264233334,117748.80474699999,486545.24822760007
35,D2-250212,-15125.383239400006,187983.20552055552,265773.533408,1369976.3311584
36,D2-250212,372408.14554570004,2122133.2965416666,721862.81703,599004.0212156001
37,D2-250212,7914.304230299982,-4438.6665433333255,37631.390508,259203.67481479998
38,D2-250212,36384.98753749998,203120.28530000002,529191.8533729999,76225.58531280002
39,D2-250212,6924.835742700008,37925.69104444445,132330.59639999998,335470.13622720004
0,D1-150125,9421.836693818179,1178824.3120807998,237230.38018733333,302528.1181039
1,D1-150125,32478.390280636362,710472.4846785,87625.09440066665,329881.2333066
2,D1-150125,154240.00176618184,1758297.683954,118168.66364599997,107950.57722960004
3,D1-150125,16491.55173454545,955119.2861250001,70690.23949333333,133278.1538955
4,D1-150125,24695.733168000006,339616.2917843,12093.970410000002,630804.2508742
5,D1-150125,50031.00106727272,668578.3601672,1068631.7253386667,65447.725261200016
6,D1-150125,49086.228628181816,426044.60683050007,102874.62176933332,181031.69164410004
7,D1-150125,15130.71440363636,336046.521242,129057.9108,277579.97782770003
8,D1-150125,57857.182595636375,488622.3327232,54347.95779233332,122748.47241580002
9,D1-150125,65097.42867736364,636925.8745429999,55207.77912866666,105629.6913112
10,D1-150125,7679.334177000004,143565.1823097,45017.12104499998,132294.20035380003
11,D1-150125,57391.29403636362,117628.8188906,134792.208332,309004.496517
12,D1-150125,38163.96625772727,10914.306920999996,319354.57830199995,301952.2654741
13,D1-150125,73322.98526563635,474772.36467660003,222545.198096,334365.8643801
14,D1-150125,47757.337605090914,700604.6825712001,10096.954857666668,247974.3222144
15,D1-150125,156662.94120727276,560597.6002432001,70771.28619333333,110937.6359032
16,D1-150125,66904.99290227272,23459.390743099997,70342.353528,100399.79585280002
17,D1-150125,46481.39452781818,33405.57951419999,28314.326674666663,68177.90073640001
18,D1-150125,116518.29782127273,1319765.9964665,90231.31788533332,149444.1635473
19,D1-150125,7261.547160909089,298473.3769409,65083.94187999997,95172.02111940001
20,D1-150125,265761.0395950909,368458.26086880005,71694.23941866666,204485.47219819998
21,D1-150125,5924.644933090909,770878.5457997001,254090.81814599992,592710.354975
22,D1-150125,21482.92004363636,242370.25163550003,283787.5592516666,58923.852878800004
23,D1-150125,32580.70863672727,949536.6615420999,146353.574352,-185.29446839998855
24,D1-150125,14998.397509090908,1314420.0993508,25833.336273333327,203969.13038110003
25,D1-150125,-2176.9412089090983,267170.9867517,162265.37010333332,583366.3066774
26,D1-150125,25017.07613599999,39362.37601149999,92550.3035993333,916802.4309795001
27,D1-150125,18422.74319454546,41464.88224199999,57725.72714466667,75463.10133700001
28,D1-150125,17268.251388272736,190607.62534379997,258818.422156,1104041.6350533
29,D1-150125,106545.30598436363,457809.7798929,21895.675349999983,17148.33897680002
30,D1-150125,-2304.3868932727273,232535.290582,97655.82189999998,85361.19516760003
31,D1-150125,28012.961455909084,579042.1540904001,42534.54153333333,275343.9856498
32,D1-150125,87708.08012127271,532555.604564047,122063.60433533334,139133.9044465
33,D1-150125,59181.69111536363,983223.6010289,131520.37511899997,490398.3315063
34,D1-150125,109409.94701363635,178416.4040926,147973.71449066664,360935.004885
35,D1-150125,70292.13139345453,1552125.3889203,75600.77420133332,263065.4978437786
36,D1-150125,202736.3657581818,834432.3426820999,43327.96895833334,216338.53433280002
37,D1-150125,5969.401352727276,105909.76325999999,76225.31648999997,315913.296054
38,D1-150125,-14093.15047800001,34089.6515313,50319.124238666656,303069.7456389
39,D1-150125,31250.10563381818,1523371.8908521999,88014.628296,113264.60336830001
40,D1-150125,15621.350405000005,300844.2225549,210705.65179766665,651898.5448229001
41,D1-150125,22857.548219545453,787391.637417,134871.89027333335,308874.24803180003
42,D1-150125,68255.74921072728,1675585.293777,66156.41403533334,181210.25395750004
43,D1-150125,82347.68679709092,680212.6292755,156952.85629033335,71879.7475979
44,D1-150125,114334.94838054544,18681.012312199993,23789.291488333314,32486.781882600015
45,D1-150125,15517.853254090907,200717.48286419996,58431.27744133332,26104.06804900001
46,D1-150125,24994.916491999997,814001.1984109,108912.03201066666,56559.238698600006
47,D1-150125,54588.11766763636,497631.03965250007,55278.53265833334,199198.4013369
48,D1-150125,16145.672611454538,223514.42950550004,119300.26120056969,255043.10576650006
49,D1-150125,109247.81247654546,679815.6793195,127609.93463999999,223688.1173538
50,D1-150125,60992.54899790909,188007.0448795,20065.281599999988,432764.09235030005
51,D1-150125,69856.22821090909,688485.2034074,20335.514113333324,84188.86639080002
52,D1-150125,12032.464817454544,430044.31575,88324.45195233333,315118.85397909995
53,D1-150125,121348.74339490908,270817.83493189997,119022.36434666667,154406.49777090002
54,D1-150125,4966.694707727271,300595.3914789,28889.22509833333,102913.67833850002
0,D1-250214,5979.649691076949,1096717.8785042223,67902.64532625,69757.10583200003
1,D1-250214,-2776.9250295384554,58704.20281488891,751058.506435125,3044.855483571446
2,D1-250214,-22381.584813615365,554573.4831222221,36473.288688375,16236.795522857152
3,D1-250214,-15600.71949538462,434239.0010751111,199822.18572975,26782.52257142859
4,D1-250214,117478.32133530776,860004.9836761111,197062.27409600004,317539.01319342863
5,D1-250214,-30896.757048307685,148982.7095018889,246372.656837125,1585759.9852560002
6,D1-250214,292335.77696676925,411106.05574844446,101342.89995212502,444847.2154457142
7,D1-250214,8338.303022076958,126750.43583999999,75577.11914162501,401867.8479417143
8,D1-250214,-15406.689166076903,168866.1077624445,394008.7636622499,547538.795067
9,D1-250214,25540.493724,633004.4296232221,109829.93487987499,208780.51407942857
10,D1-250214,-17054.491223384626,3080.6690513333306,15116.640468500002,580165.4159642857
11,D1-250214,100728.76623576923,143075.9846561111,55393.30926562501,199240.47244800004
12,D1-250214,1683.393311692329,352546.19995555555,32996.4383475,128008.22864885716
13,D1-250214,45828.245117153856,540613.7284484444,40353.765243000016,228856.81846985713
14,D1-250214,-31550.302818461438,411902.466725,2003.0888052500013,302261.97922057146
15,D1-250214,-4204.560116769222,144141.68381511112,396051.0588965,65909.83684114287
16,D1-250214,32165.728884307697,347228.698418,352441.215044625,140768.0171357143
17,D1-250214,-4550.689279692306,169592.7185591111,209677.88229412498,119296.22602828573
18,D1-250214,-10590.192748846137,458083.3238911111,263337.95434224996,147957.94096799998
19,D1-250214,-66267.66629446152,582638.4863383333,57851.422807749994,201001.16299728575
20,D1-250214,-389.710834230762,926969.5432782221,290242.33155974996,513525.4482857144
21,D1-250214,378849.4214332308,435749.89826133335,81528.709644375,196191.56293542855
22,D1-250214,-25451.142716615344,1474549.4941893332,124074.78300225,74785.16156314287
23,D1-250214,142185.46936507692,274384.75800711114,12262.49669575,-6998.009850857125
24,D1-250214,-84089.17254499995,296350.06738855556,91628.33131750001,129559.57638171429
25,D1-250214,17294.956105769263,868892.1805134445,59193.498491875,1666945.2756091428
26,D1-250214,44135.59730815384,613773.4406454444,89691.99945937496,1224858.4601844286
27,D1-250214,-3126.080683846143,526916.5106666667,145730.147959,139737.60865071428
28,D1-250214,-5297.341150153836,773079.520044,39826.611313125,910675.1518744286
