,Name,ICAM,p30,PD1,p30 + PD1
0,D2-250212,70516.98470970002,299404.0729504444,24314.669595833344,186794.06471999997
1,D2-250212,3377.0677922999894,120294.447066,11751.713038333342,536746.7893982856
2,D2-250212,7452.219568199973,57523.83577422223,154668.0538445,293464.9791978572
3,D2-250212,-32675.654962200002,473688.85321077786,32600.194841500008,208312.88036300003
4,D2-250212,50376.465540799996,90132.47812222224,7313.99479833334,123478.97532342856
5,D2-250212,15700.502542900009,28753.28301511114,-1267.755470666656,493439.90354371426
6,D2-250212,23135.3851479,316171.2648515556,10979.210332333343,1653396.573564
7,D2-250212,47012.80716629999,643445.2423983334,64086.041059333365,659651.3961305715
8,D2-250212,-39895.248851499986,108047.22623644443,587951.1598155,167235.51696171425
9,D2-250212,-29638.711421899992,213800.6287342222,23057.759344833335,1062816.9321645712
10,D2-250212,12767.502125700004,1146652.2567084443,702.0593411666778,612666.6392027143
11,D2-250212,140691.7192497,78478.94397333334,15623.993968666677,122914.4699634286
12,D2-250212,16388.299502900016,148460.92741666664,36737.68881183333,235857.98793142854
13,D2-250212,31539.83748409999,69073.59433333333,359040.84408350004,162924.86370399996
14,D2-250212,8275.735280299996,617662.976248889,17403.040775000016,461766.94997142855
15,D2-250212,-18601.22314670001,372244.64969211107,48076.73467500004,62230.83502428573
16,D2-250212,43063.6495245,184090.73012666666,-12344.614932833327,394534.7663965714
17,D2-250212,-19815.259305600004,206443.52971111116,45704.39976316667,129691.00680642857
18,D2-250212,-22507.625517899985,156052.85876444442,15934.110663500003,502962.61393928574
19,D2-250212,-40541.85157110001,36659.89927600001,18977.197684500003,418505.6860828572
20,D2-250212,24685.2167034,60770.89665911111,5981.815715500008,715904.9528802856
21,D2-250212,-26176.521910500007,387640.27919555554,9063.89091300001,118363.48056971429
22,D2-250212,-34205.6429412,117511.30778933334,29782.162428666677,741707.1371057143
23,D2-250212,544.3770561999845,1002052.4545347777,35608.66706216667,653897.2367511429
24,D2-250212,-2274.6601793999944,220181.5693537778,27177.017571000004,683554.2966971429
25,D2-250212,1238.3201011999918,541455.3751753333,-13627.530622166654,819803.3257762856
26,D2-250212,-25111.438955899997,146130.12252977776,-9928.029680166655,225208.91535842858
27,D2-250212,-18947.3542684,115723.77278266664,15958.912350000013,292207.4543878572
28,D2-250212,-9753.713864599995,167652.2512328889,-10119.862822166659,321449.72902728576
29,D2-250212,-11324.4745884,74119.89653111112,85314.89910833334,292429.3030092857
30,D2-250212,-55914.760995000004,936569.7771291109,14210.063846000005,246507.3624798571
31,D2-250212,-77284.08064710005,460817.6304572406,-10092.42098616666,3352956.733984
32,D2-250212,543542.8044734999,151934.5073013333,19693.168650833337,1059564.6814741432
33,D2-250212,-13185.800072900005,1991640.3646639995,2490.9667085,1297999.0309611429
34,D2-250212,-39430.753336800015,80800.62264233334,-80467.88828216665,630219.3849064286
35,D2-250212,-15125.383239400006,187983.20552055552,-8421.722732833354,655428.0949108572
36,D2-250212,372408.14554570004,2122133.2965416666,20480.254794,1401262.6738485715
37,D2-250212,7914.304230299982,-4438.6665433333255,-17541.17975899999,-14477.817886285717
38,D2-250212,36384.98753749998,203120.28530000002,2188.930204999997,367710.01009585714
39,D2-250212,6924.835742700008,37925.69104444445,45169.67851545556,320456.62144142855
0,D1-150125,28898.568302800006,143843.05255799997,6040.07744175,339623.1084442857
1,D1-150125,10070.082074799997,213118.43943449995,1706.8006462500052,220742.00473828573
2,D1-150125,-6274.865345400001,242897.501635,5166.80335925,21182.375564142843
3,D1-150125,3381.5622655999978,12469.951702499999,126913.69793724998,60042.180989857145
4,D1-150125,27004.46613,95263.01570149997,-3194.9199127500033,58657.32689314283
5,D1-150125,31567.191313599986,167963.79353999998,11698.87693125,83383.73425357143
6,D1-150125,37141.20109799999,197475.9483915,73165.40555124998,398923.1636742857
7,D1-150125,5425.805576400002,22479.059364999994,10209.982554000002,211423.44964900002
8,D1-150125,30767.46033599999,703643.8330845002,-3558.0679075000007,16590.506232
9,D1-150125,31924.530864199987,713261.5283535,-2345.5031792499976,1354761.7175588573
10,D1-150125,15899.2335078,783779.5332185,42585.14329374998,41116.39855499999
11,D1-150125,59536.17488719997,139433.209475,15135.92106275,79753.19131228571
12,D1-150125,19316.95474919999,176393.12169599996,2034.9900617499989,62346.95717485714
13,D1-150125,109452.017864,55645.110345,-19054.136737999987,341150.3603255714
