Name,ICAM,p30,TIGIT,p30 + TIGIT
D1-241217,47174.1287472,202642.79979900006,69032.26913799999,294802.53800157143
D1-241217,-40208.31073140004,398422.607076,133612.50347399997,30017.995049428573
D1-241217,-6238.259116800022,69842.75407800003,28115.764263999998,1206328.6756508574
D1-241217,-124.38689880001766,-12927.406310999999,32983.0246015,141982.94961842854
D1-241217,4776.3115903999715,-15111.374207999907,118830.10167599996,465671.480182857
D1-241217,3324.4208447999554,86091.16338000003,327187.9493795,25513.771010285724
D1-241217,-9453.379818400019,456550.507008,172947.4795425,154714.00641285715
D1-241217,-16159.254702000006,62352.640920000005,110106.04343250001,127615.03394857142
D1-241217,-10554.81649279999,69322.23020699999,49959.294115499986,115526.08168928573
D1-241217,11077.576321114268,164631.91830300004,190681.27148299993,-4646.380688000005
D1-241217,2317.5918919999676,493312.885335,70468.38673699996,158739.22296457144
D1-241217,-5232.243765000021,53505.41738500001,325458.3302384999,10101.796852
D1-241217,17582.919225599966,33142.27248,95302.98041549997,83199.0269057143
D1-241217,154928.66103400002,-4114.628599999996,55064.863991499995,125032.00906557144
D1-150125,-6274.865345400001,242897.501635,83742.51887828571,27894.606810000012
D1-150125,3381.5622655999978,12469.951702499999,40574.01115285714,1569065.2461041668
D1-150125,27004.46613,95263.01570149997,55275.09004285713,196987.27040766669
D1-150125,31567.191313599986,167963.79353999998,10690.274935285717,577224.5940515
D1-150125,37141.20109799999,197475.9483915,33334.35050185716,1718954.1501731665
D1-150125,15899.2335078,783779.5332185,95642.1169241429,218559.05242199998
D1-150125,30767.46033599999,703643.8330845002,19002.763296000005,158411.28846200003
D1-150125,59536.17488719997,139433.209475,52069.33404600003,814019.3149303333
D1-150125,19316.95474919999,176393.12169599996,322522.47764685715,29617.44942916667
D1-150125,109452.017864,55645.110345,29873.233170000007,235782.34683750002
D1-150125,10070.082074799997,213118.43943449995,-80085.72686057142,50816.349642
D1-150125,5425.805576400002,22479.059364999994,7017.509631571433,259607.34405450002
D1-150125,28898.568302800006,143843.05255799997,33346.41566628571,385361.05122316664
D1-150125,31924.530864199987,713261.5283535,22931.83493085714,366248.79370166664
D2-160125,141927.21367899998,4845.479867800008,38360.884635818176,267744.75766
D2-160125,152511.19897499983,261020.0807466,65862.05774399999,308459.48546600004
D2-160125,-85696.51612600009,82673.9302905,101119.42245763633,1961346.2558940002
D2-160125,17906.043852000003,32122.568670000022,3983.7164925454563,41293.681282000005
D2-160125,34162.93097999989,124733.19315930005,121970.57933136365,129674.36453600004
D2-160125,22780.006792879965,279059.37949260004,28935.959166545457,-1753.1503359999915
D2-160125,-108375.72768000007,70135.33857949999,14605.807631454547,287076.97394999996
D2-160125,13325.168747999996,191993.6828529,6081.2658539999975,1319721.346162
D2-160125,2916.949289999975,94867.8691578,13550.263177454544,112346.52534
D2-160125,-189142.4855040001,250588.06616479997,104295.58369081818,61601.685986
D2-160125,40088.60404399999,8802.0378633,116104.31184999998,928051.3348479999
D2-160125,18498.312734999992,149859.51063550002,28652.12362336363,187798.724904
D2-160125,-9589.811520000047,-982.4987533000021,32974.60246618182,442275.67131999996
D2-160125,73492.67288999999,128355.33192489999,27817.33327199999,236783.28088799992
D2-160125,-3284.4370100000087,15512.40469120002,4069.3323789999995,-5549.417750000008
D2-160125,-79138.00764000003,25856.17170900001,33103.315971818185,62205.45305
D2-160125,81903.80809799989,238309.9173158,74417.976738,29875.517307999995
D2-160125,-19368.05753400002,339.8434515000117,11638.500563636379,311115.271116
D2-160125,-843.4737000000314,-4714.3996357,160577.5933865455,1293.9885419999919
D2-160125,-7633.453997000062,127097.28289143849,14767.447652363633,1563485.3467519998
D2-160125,14480.17504500001,13547.856077100005,14191.058234545446,114972.495456
D2-160125,-83204.79514200002,130374.6036236,182315.49617490912,214001.14310400002
D2-160125,96007.12812599997,848168.1264363999,7228.426492727274,898124.417826
D2-160125,196337.89121099992,77502.27123929998,-18652.393705363633,693806.498439
D2-160125,-57033.75347600001,131119.184895,166209.87067681816,537663.7664899998
D2-250207,378849.4214332308,435749.89826133335,1003115.2536370002,970554.3535456364
D2-250207,-389.710834230762,926969.5432782221,170993.6859594,435285.35162999993
D2-250207,45828.245117153856,540613.7284484444,664506.774,378238.15437163634
D2-250207,-66267.66629446152,582638.4863383333,433082.7337651999,252390.2862610909
D2-250207,-10590.192748846137,458083.3238911111,354575.423659,82498.89854363637
D2-250207,-4550.689279692306,169592.7185591111,171515.81495720003,288199.9158899091
D2-250207,32165.728884307697,347228.698418,23264.5894272,571703.2449340909
D2-250207,-4204.560116769222,144141.68381511112,727554.8100424001,1321231.7053909092
D2-250207,-31550.302818461438,411902.466725,430705.3894648,20068.784157272727
D2-250207,-22381.584813615365,554573.4831222221,162195.5854575999,110750.04906681826
D2-250207,-15406.689166076903,168866.1077624445,269088.72224880004,555023.4719669694
D2-250207,100728.76623576923,143075.9846561111,262362.38984559994,371349.7263130909
D2-250207,-17054.491223384626,3080.6690513333306,259323.97491,915805.0087136363
D2-250207,25540.493724,633004.4296232221,43185.364711399976,429157.0109669999
D2-250207,8338.303022076958,126750.43583999999,416587.179893,1245323.3508174547
D2-250207,292335.77696676925,411106.05574844446,275388.8086144,280954.12170454545
D2-250207,-30896.757048307685,148982.7095018889,676565.9836212001,228653.05429590913
D2-250207,117478.32133530776,860004.9836761111,513150.54108779994,591265.1249018182
D2-250207,-25451.142716615344,1474549.4941893332,178772.6966912,384933.7588759091
D2-250207,-15600.71949538462,434239.0010751111,105521.48241759997,90397.67527636363
D2-250207,1683.393311692329,352546.19995555555,390676.403164,-11497.878040909083
D2-250207,142185.46936507692,274384.75800711114,36543.07027139999,215807.20593590912
D2-250207,-1365.7022711538302,684763.8861112222,52584.99882999998,136106.76898545458
D2-250207,17294.956105769263,868892.1805134445,238712.11185599997,565472.0663222728
D2-250207,-18340.561359615356,1129706.0266800001,178260.06303080003,145168.65006054545
D2-250207,34151.51829935599,508381.1899333333,1472.6975209999946,5610.504938181839
D2-250207,-2776.9250295384554,58704.20281488891,515499.1341912001,328436.0515429091
D2-250207,564635.583670154,832415.8212566666,149775.9421256,157761.58059872728
D2-250207,-5876.226370153847,305378.48658333335,294775.6890623999,1155469.6322787274
D2-250207,14086.076504615397,666919.2749671111,1472481.3903943999,1052093.7836372727
D2-250207,-11490.719987999997,171089.320647,175445.01047700003,333437.1407229091
D2-250207,12866.108056538505,428043.30532255553,140490.8036332,270707.6696545455
D2-250207,-14626.604984538426,407009.75216055557,189574.87374540002,1306566.4066476363
D2-250207,-21856.899057230752,1538348.8574295556,81649.2579738,708681.7817074545
D2-250207,16649.14142276923,233295.00379244442,512382.91347299994,873871.0335644545
D2-250207,80616.64361261541,252045.63545944446,452541.84973759996,48268.437159090914
D2-250207,-25.342133846133947,876886.1124408889,2789210.4111899994,130213.73008636365
D2-250207,-72917.19442953845,556230.7877415213,101969.16194519997,178190.0946610909
D2-250207,-9111.82959230768,592712.7518791112,13913.566636200005,324520.4405751818
D2-250207,-17902.785282307683,140344.18011666668,294239.6521232,327233.0803018182
D2-250207,-15381.47072069229,298715.48290888884,404264.93445840006,176549.04974127276
D2-250207,-3520.9734738461557,75200.711648,1022282.0218404001,264378.62950881827
D2-250207,-5297.341150153836,773079.520044,311680.79272719997,826465.0574333636
D2-250207,-3126.080683846143,526916.5106666667,1416926.9631396001,745997.1542174545
D2-250207,44135.59730815384,613773.4406454444,33496.434067199996,887090.4461747273
D2-250207,-84089.17254499995,296350.06738855556,1171610.3802960003,9063.702856090902
D2-250207,5979.649691076949,1096717.8785042223,426638.10134399997,402000.6429687273
D2-250212,70516.98470970002,299404.0729504444,119566.23186933332,872255.5390827778
D2-250212,-34205.6429412,117511.30778933334,11399.24081033333,207901.32265688892
D2-250212,544.3770561999845,1002052.4545347777,-2138.1968152222253,145695.02381133338
D2-250212,-2274.6601793999944,220181.5693537778,184276.1871377778,38891.22350533334
D2-250212,1238.3201011999918,541455.3751753333,44074.690597777764,193829.19080344448
D2-250212,-25111.438955899997,146130.12252977776,76002.40949844444,933714.5267903334
D2-250212,-18947.3542684,115723.77278266664,168331.26491155557,984331.064433889
D2-250212,-9753.713864599995,167652.2512328889,104361.20466966668,611788.9897426667
D2-250212,-11324.4745884,74119.89653111112,332548.21329188894,657539.3130683334
D2-250212,-26176.521910500007,387640.27919555554,26726.69375666666,789808.1067946666
D2-250212,-55914.760995000004,936569.7771291109,62057.449475555535,346648.127371
D2-250212,543542.8044734999,151934.5073013333,369683.27200444444,145228.75223188894
D2-250212,-13185.800072900005,1991640.3646639995,201180.46609177778,3367535.908043777
D2-250212,-39430.753336800015,80800.62264233334,762941.2103168888,329668.0311172223
D2-250212,-15125.383239400006,187983.20552055552,323519.82177833334,470547.64000688895
D2-250212,372408.14554570004,2122133.2965416666,23232.681167111106,66746.04004833338
D2-250212,7914.304230299982,-4438.6665433333255,28211.75833622222,410794.9178061112
D2-250212,36384.98753749998,203120.28530000002,149307.5160658889,411724.0891166667
D2-250212,-77284.08064710005,460817.6304572406,700.2338934444488,36217.42207455558
D2-250212,6924.835742700008,37925.69104444445,24651.99729677778,382546.32908022223
D2-250212,24685.2167034,60770.89665911111,130284.77040699999,553865.9163991112
D2-250212,-22507.625517899985,156052.85876444442,-8506.802296777787,484187.7668275556
D2-250212,3377.0677922999894,120294.447066,2272595.342546667,911327.3833726667
D2-250212,7452.219568199973,57523.83577422223,73946.67778955554,5826480.877995556
D2-250212,-32675.654962200002,473688.85321077786,210851.58399277777,1322287.2906766667
D2-250212,50376.465540799996,90132.47812222224,141454.07137777776,678888.5061133334
D2-250212,15700.502542900009,28753.28301511114,188928.80611579164,893451.4722699111
D2-250212,23135.3851479,316171.2648515556,376152.90819999995,82099.43682222225
D2-250212,47012.80716629999,643445.2423983334,127391.66639666667,1299839.1121588887
D2-250212,-39895.248851499986,108047.22623644443,42881.77678522222,3307213.604652778
D2-250212,-40541.85157110001,36659.89927600001,124814.88243466665,30805.16195944445
D2-250212,-29638.711421899992,213800.6287342222,3779.6280487777694,65861.2587307778
D2-250212,140691.7192497,78478.94397333334,40390.88192099999,2837202.0035938886
D2-250212,16388.299502900016,148460.92741666664,47241.04003888888,298550.88920022233
D2-250212,31539.83748409999,69073.59433333333,18682.09259666667,3464860.4029555554
D2-250212,8275.735280299996,617662.976248889,17063.597275111104,229028.42991155564
D2-250212,-18601.22314670001,372244.64969211107,191151.21019133332,178681.36233511113
D2-250212,43063.6495245,184090.73012666666,87091.32191111111,463841.9894044445
D2-250212,-19815.259305600004,206443.52971111116,75393.63049555555,375149.47619555565
D2-250212,12767.502125700004,1146652.2567084443,200091.58100322224,950160.7505195555
D1-250214,16491.55173454545,955119.2861250001,1563729.4106037999,224100.98907210003
D1-250214,154240.00176618184,1758297.683954,273571.684428,300342.58679970005
D1-250214,54588.11766763636,497631.03965250007,603469.6084295999,86271.9058866
D1-250214,9421.836693818179,1178824.3120807998,76547.69786880001,1014543.8213606001
D1-250214,24695.733168000006,339616.2917843,62912.885359399996,136198.32762479997
D1-250214,32478.390280636362,710472.4846785,118070.28152260001,86490.89725489999
D1-250214,50031.00106727272,668578.3601672,1136287.1589944,726775.8559592
D1-250214,49086.228628181816,426044.60683050007,270845.97258480004,180578.1918863
D1-250214,15130.71440363636,336046.521242,16901.2108172,80245.7427114
D1-250214,87708.08012127271,532555.604564047,98848.11594440002,472439.42587379995
D1-250214,59181.69111536363,983223.6010289,1822257.1844456,16536.806147400006
D1-250214,109409.94701363635,178416.4040926,279768.8141424,39254.8269057
D1-250214,70292.13139345453,1552125.3889203,408421.5807110001,79470.8948313
D1-250214,202736.3657581818,834432.3426820999,39930.0792756,159750.63584250002
D1-250214,5969.401352727276,105909.76325999999,240578.9224772,167895.81467639998
D1-250214,-14093.15047800001,34089.6515313,133482.6595704,552279.5495866999
D1-250214,31250.10563381818,1523371.8908521999,116424.21387959999,178738.2020853
D1-250214,15621.350405000005,300844.2225549,20279.1998122,815255.3416208999
