,ICAM,p30,KLRG1,p30 + KLRG1,2A,p30 + 2A,ICAM,p30,KLRG1,p30 + KLRG1,2A,p30 + 2A
0,39624.66208575,64226.63511200002,32154.432691333328,60737.13333600001,45338.05938200001,385029.2395825001,14816.095980000002,73165.47020000001,2487.7726206666703,38730.502822,7644.2488954999935,6278.031436250003
1,11919.102210750003,21792.501120000008,396479.7409724444,99247.55163533334,213098.47735800003,203870.7847155,3967.900706000004,13776.495616,6179.602942222224,27239.06691022223,-3954.439169250003,10697.00132475
2,44508.21194962501,654476.202593,7492.307148888885,102098.8115,92098.011313,317329.46225700004,20245.603614000007,16533.193349,1453.8412074444495,5320.014373333332,4582.182851749996,65242.98613050001
3,26873.608748250008,103349.653056,85912.99643666667,52821.419418,76640.02567399999,216569.594066,13690.289404000006,89024.91811199998,7854.878863333339,404779.96374000004,20039.249820499987,17864.743365000002
4,11474.619174374999,296169.75132000004,32963.478624222225,275686.72228800005,234011.453562,273832.97762475,3698.7165600000044,29671.104030000006,8291.495299111113,95670.392292,8673.186722499988,10503.11083537501
5,13678.069752375006,795444.69209,231237.79109533332,93499.68960733332,9852.124655999995,290961.3842306376,6127.024953000004,647074.742258,15360.747066666678,444163.23021822225,3816.6089879999963,44779.32913124374
6,12787.821861875003,190066.14263000002,8919.210683333338,35961.963823333346,143499.06999000005,59441.96041975,4519.612070000001,213268.553834,-264.78489933333185,200884.55558422225,6855.283327499994,37846.79903887502
7,40348.73274437501,421328.80643500003,38298.76094222223,54819.291683333344,105231.21549999999,579145.7010960001,15428.972900000008,39352.96377,13665.961131111122,-254.3829944444442,6108.993137499994,22467.075300000004
8,20690.48371950001,126663.43236,49819.852770222235,857276.9793733333,605851.1865669999,14086.565300250004,8712.433716000003,351153.70655999996,3974.2212441111114,96021.12737555557,15534.921018749956,-2826.909521374997
9,7359.323087875007,1088691.426407,60719.53681144447,182495.80160533334,303129.813818,178844.87486449996,1479.6474879999987,27139.690105999995,27950.72924122223,48564.86928622222,10794.660314749985,16754.179068250007
10,20365.026671000007,154387.334388,96924.18089277776,259591.16527333338,13055.830427999994,254313.18452700003,14709.853048000004,64581.349284,3097.807261888891,279433.52364555554,-3017.0326350000105,8371.563355500002
11,17173.01849437501,167883.483723,21850.16295777777,60908.90696800001,448340.737536,665994.70642975,8323.397985000003,6109.396620000001,8043.374608888891,47893.86153066667,4720.59475199999,18537.39568637502
12,35584.77025675001,131325.704211,23324.30246222223,58511.611027000006,681987.2875539999,699343.79115775,22628.026614000002,487577.6789189999,3079.0723911111127,11929.229392666675,5269.218723749997,26791.403964875004
13,11057.01375687501,502385.54705700005,205937.58183044445,318246.689085,134590.94698799998,91864.10380350001,3385.553350000002,92365.615764,8179.461170222225,29417.254321,4218.693989249994,2949.7340827500157
14,24255.83046287502,68058.38127900001,221233.22509377776,322496.0342533333,31582.388544000005,820932.9723815,12734.563845000004,56814.71798900001,3231.7038528888916,290964.00986222224,2929.4069279999985,8947.866512750006
15,14540.789594250007,46021.966911,157530.47362577778,681929.4971096667,151868.71013999998,50014.796332499995,5053.914174000001,356342.42482200003,11148.497265888887,205971.21437211114,2026.5275962499963,8149.568969250002
16,7359.323087875007,155740.413724,52151.07250388889,496554.28029266675,131240.48885,106021.0868625,1479.6474879999987,15593.655594000007,6620.904794444454,52431.18797977778,792.2376562499921,5478.34687125
17,18644.714406875006,47875.35432,92531.22954241921,772049.5342489999,334132.853595,237632.68304250002,6922.387520000004,203393.933688,7187.836586777782,47387.66541133333,4518.568538749994,54388.11038625002
18,48578.02205687501,88781.15570400002,35085.46949077778,218193.32878000004,164179.874777,548936.2004962501,17600.999423,71244.377352,6490.778951888897,9968.205461666668,1506.6389607499987,96667.15739062501
19,1918.6081378750023,242148.72632100005,20782.40646222222,178557.64705066668,1440202.2529250002,368973.4692835,374.337535000006,15705.310323000009,7859.679103111121,8344.589324444449,12389.673618749977,42412.24242275
20,19892.746882125,467304.216821,47005.50783911112,88102.38212966667,66227.99252,111644.54013475,6322.028903999999,89986.78404299999,6071.799539555563,31327.410670111112,1319.4177522499813,6707.816283875003
21,46451.827004250015,553577.63432,37781.02257766668,247483.315764,39450.435181999994,96483.0023835,21195.392976000003,59892.723125000004,4328.254331333341,23577.566688000006,10840.068366499989,20442.01806675001
