,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT,Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG1,Corrected CD63 I + p30 + KLRG1,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT,Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG1,Corrected PFR I + p30 + KLRG1
0,12952.686686799978,62352.640920000005,168302.60261849992,115526.08168928573,-15908.04479133332,20815.537948500016,303659.9605366667,109141.88590000002,-945.5749967999982,203396.80803833334,1292.063581499995,38474.82023,15645.709264166668,58975.817948333344,-2420.4745426666705,-746.1693410000007
1,3324.4208447999554,53505.41738500001,133612.50347399997,212937.91187999997,320347.3527575001,230211.10612500002,58033.95211333334,115220.06440900001,254305.27976360003,75403.24111666666,4995.698591249995,-578.701460000002,19554.504795000008,218069.20109333337,-2654.263876333338,289631.004003
2,-9453.379818400019,252755.9978907451,174079.92682250004,380299.4759428571,50525.020186666676,821535.979607,82045.86814666665,207806.46145000006,-1586.1092422000002,20398.42448416668,-106.20136750000165,267872.28171,2918.5659018333317,144512.54080166668,-485.7085583333319,-2315.539150000004
3,-124.38689880001766,-4114.628599999996,110106.04343250001,65717.34462357144,-14499.270146166644,154550.15092549997,210216.12213100004,1009900.010392,-1194.8035391999983,470683.813611,2742.800159749997,331842.307275,116452.36010833335,103234.93349333332,-5724.685184000009,-2372.503454999998
4,-16159.254702000006,240499.84551600006,42020.27523749998,1206328.6756508574,46870.37730833335,256203.94979550003,245798.44813333332,72424.753671,-878.8682176000038,264436.5393216667,8699.912343749995,64033.08833599999,93432.90006083333,35429.25849866667,327.0263873333315,894.6852339999969
5,-10554.81649279999,82492.086672,265755.8154975,180240.80983542855,5495.39846916667,157237.5268025,9685.262372666664,196691.871816,-1116.5735471999997,420373.1443513333,159.70105124999827,28437.034079999998,25511.842266666667,3164.473397666672,-2343.76957733334,342248.10255999997
6,-6238.259116800022,586918.511634,122807.23255500001,2121563.697132857,869.6061566666613,105762.277935,693012.1100653333,-628.0370239999902,-658.4400124000058,1195732.220484,37787.706381749995,28374.114252000007,35708.421101500004,182958.543404,1210.3623726666665,13677.106608
7,17582.919225599966,248215.98972599997,368465.74474,629707.5112628571,164974.13372333333,127568.83785750001,222116.1972753333,461493.24072,-1443.9403704000033,217458.50195400004,150121.55154924997,12649.992127999994,274.98739449999994,212323.38999666664,-401.11688600000343,-1436.6455920000008
8,2317.5918919999676,398422.607076,30229.001437499974,191538.1862125714,9678.298112166682,281766.24833500007,256525.890302,927294.5674079999,-1411.007625600003,333040.80474416673,25522.789853,54375.152899999994,-1354.8376508333313,77956.464086,-3247.147800000006,26372.028536000005
9,47174.1287472,128264.548419,28115.764263999998,659361.0085605714,-6240.410905333323,79160.22048600006,33290.168074000016,360868.19304800004,122133.855242,146692.82263399998,7984.574815999993,6115.970249999991,259720.97205416663,112420.51425,337.0559426666623,53927.999103999995
10,-40208.31073140004,86091.16338000003,118830.10167599996,528393.1427392857,-7085.32255433331,186825.71494349997,286734.7896316666,246517.24118199997,26014.32407712857,335522.11101500003,41640.7609255,742.4104799999986,9175.336312666674,4301.271252000013,-3070.7807200000025,471.4857880000054
11,11077.576321114268,147553.50311800002,196136.344646,58794.67588799999,34893.56270633332,93732.61737700002,14715.726251666667,289581.259786,-66.61417000000438,374590.90695483336,797919.5285862498,204494.33664,179814.06541083337,-549.3533899999966,903.3728573333319,6021.960806000003
12,-5232.243765000021,202642.79979900006,247819.43445999996,64887.334285714314,38038.982948333345,247438.797225,321576.8684146666,2271319.9146000003,-1483.2303360000042,733546.0426739999,26966.047782499994,52054.458984,173391.54149466666,1291.5388233333397,-71.60260333333463,1490680.1424000002
13,4776.3115903999715,192098.69242200002,201861.33372599998,127615.03394857142,12148.054100166657,2235.6003450000135,357425.8482160001,310083.901802,159.54664559999765,252191.06999950003,119833.63281500002,240169.79415000003,-251.6516546666644,127582.59596300003,-3180.7578986666667,12418.314390000007
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,802.4988416224279,191264.2268112675,157724.43747049995,467350.7778323163,45721.98129082145,197503.18326485713,221059.80083316664,469836.80922571424,27987.70311935204,360247.60367019044,87540.0405049464,94932.64713964285,66428.19406140475,91547.94211557144,-1487.3207204761936,159247.9979922143
