,ICAM,p30,TIGIT,p30 + TIGIT,PD1,p30 + PD1,2A,p30 + 2A,ICAM,p30,TIGIT,p30 + TIGIT,PD1,p30 + PD1,2A,p30 + 2A
0,40088.60404399999,124733.19315930005,27817.33327199999,248922.33251999997,83556.87975787502,1862.4627546666597,181170.08973580002,591425.9965540001,41550.70821333333,31187.51028500001,7285.417776000002,121451.27470089999,423.22500000000036,8032.054528222219,19500.3671388,-3078.248457899994
1,-189142.4855040001,32122.568670000022,33103.315971818185,267744.75766,65082.95382750005,-5005.404521999997,37318.62891600001,766184.423708,5830.873715333335,27497.92908,9740.234242090908,-322.9515747999976,9284.793584999992,5849.949342777774,-3717.5492969999905,-714.6374504999985
2,-843.4737000000314,68819.94097469999,275798.26062327274,287076.97394999996,-34289.92278824998,186490.17979333331,501118.9346405,327362.3177335,1105.2657800000015,40507.749056000015,-4312.1987020000015,71.65986520001024,-1348.4250600000087,-1385.9185777777802,6508.176736599995,69171.88609870001
3,81903.80809799989,-1454.6042973000003,8653.376581909077,480457.20601200004,78879.66269700002,355369.3621153333,173348.7045747,55751.72263080001,2100.545483333335,79108.76708299998,33111.10677290909,-1913.0759021999984,1340.714627999998,-2141.2544640000015,-2590.4554147000017,82046.57133199999
4,-83204.79514200002,56265.322977,1745.659482727271,337283.24047200003,15831.886213874997,34968.475317333316,77088.4223634,-16737.630105599994,2755.294985333334,83950.592511,33901.84248181818,8937.536558100008,184.54463999999643,14654.986155777784,13022.591354100005,-3194.245039999998
5,-79138.00764000003,140938.3896176,424102.83554463636,537663.7664899998,-12026.069702999972,95787.73099099996,211926.01939670002,-18886.982640899994,-6350.555194666667,4051.739548000005,-763.9195647272718,10937.333089000003,-737.6344160000008,33423.69940311111,8983.409230799996,2302.8502668
6,96007.12812599997,-2927.4381743999984,65862.05774399999,699927.569418,-2503.7628558749857,-13525.70160666667,1250400.1288768,255614.5290513,3642.2563500000106,237829.04308800003,-380.06756363636305,23330.8074528,-1556.756478000003,289.29526744443865,6288.143625299999,47764.5596091
7,-85696.51612600009,138910.7033712,45419.03360045457,818222.9758919999,-16286.339118124975,-1877.4872160000014,89794.80342139999,317803.34678729996,1585.8680333333323,-3236.912279999997,-1564.7337887272697,132693.23681789997,2557.589409999997,-2137.215088333338,12789.0045426,386544.8368387
8,17906.043852000003,94867.8691578,11638.500563636379,2679973.7795169996,2836.4036868750118,89328.01755766665,31589.156082200003,288905.8547295,-23708.810410666672,-2093.949639999997,-2577.9589208181824,23069.042417400004,3884.6095019999993,-1224.9419911111108,5667.398482099998,2584.571452299999
9,-7633.453997000062,-982.4987533000021,121970.57933136365,61601.685986,31892.12217675004,2189905.2104956666,37794.91300089999,-19525.648309800003,1551.636120999996,21316.156200000005,324.1131098181868,89567.0720671,2133.096809999999,27952.986493555552,7383.160619199996,3395.500757800004
10,-19368.05753400002,90268.96909150002,53557.02595781819,111866.37906199999,6973.157252500023,1322214.3588463333,31911.89652380001,450054.0142345,-5199.62574166667,18318.709281000003,2821.1668838181868,15487.666773600009,8511.454664999997,-4936.863615555565,1182.8974640999986,2822.866940700005
11,329252.59147800005,70135.33857949999,160577.5933865455,417385.04949599993,49535.55050325004,525006.7080793334,166414.46356240002,12038.4507477,141612.99878733332,50239.48111500002,-3001.1012099090894,20628.3114814,972.4639220000026,-2722.3472466666717,435.1091821000009,16191.9003939
12,22780.006792879965,149859.51063550002,28652.12362336363,679461.111212,48245.495900625,31066.203738666667,321592.22458770004,173279.73537559996,-14026.87146333333,5453.876735000005,3423.8458938181793,-2108.612128499997,4246.904639999997,58243.67741111111,5569.815633299997,95622.4652607
