,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT,Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG1,Corrected CD63 I + p30 + KLRG,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT,Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG1,Corrected PFR I + p30 + KLRG
0,-23930.16576246149,582638.4863383333,1416926.9631396001,435285.35162999993,-5382.6378735000035,715735.2696866666,64768.818449625,561650.4874971429,-3198.0276430000013,782611.1289919999,167556.72162490003,670686.9016253637,25543.046496000003,399976.5519495555,750.4718926249952,93096.57592057141
1,-30896.757048307685,2596021.292994667,113060.20971699996,346673.16573018185,427886.78515,1530935.274891778,42285.08150999998,88928.96400000002,-23089.445054000003,155749.15345466667,113305.35963329999,1033457.6375145453,22821.93705,9612.22303644444,211340.54445612503,399705.0908652857
2,-15600.71949538462,1129706.0266800001,426638.10134399997,280954.12170454545,27874.720575,455501.51477999997,57851.422807749994,-4361.670101142838,-6412.682454,164651.8889077778,605735.2487923,123660.5296181818,463425.68596999993,727845.9312079998,232.15424924999752,168886.09957642856
3,12866.108056538505,773079.520044,433082.7337651999,82498.89854363637,24980.508279499976,857288.6761342222,394008.7636622499,16236.795522857152,-13879.441954000002,320565.87809888885,305697.10268759995,200101.9439045455,366961.420878,67849.47975722223,-47.51048662500398,60014.91021428572
4,-5297.341150153836,1538348.8574295556,275388.8086144,371349.7263130909,18537.834623500006,333640.164768,307834.00734375,587130.6947777143,10974.871525999995,166725.414051,-30.425079500004358,209295.72436,-1326.8077680000006,197634.92472933338,1202.9535498749974,764978.0870485714
5,80616.64361261541,140344.18011666668,354575.423659,103942.83167154547,79359.54446250001,499915.62448544445,321489.12503475,977425.8175950001,-8820.665925000005,374994.52154877776,328102.00835539994,898038.6893034547,53219.60219100001,549559.22398,372582.785735875,51246.574333714285
6,-17902.785282307683,411106.05574844446,67101.6760172,378238.15437163634,257709.277443,683483.4053866665,51827.11208762499,3044.855483571446,224666.56010700003,1655691.6297311112,546449.9673644999,22631.26941163637,18749.140704,354324.5416511111,3251.962043249998,179612.2063062857
7,-4550.689279692306,613773.4406454444,259323.97491,333437.1407229091,78587.58095550002,250985.4117955555,91628.33131750001,123563.84863271433,-13157.846256000004,479646.2173088889,59075.5642368,422982.3133098182,120325.93469000001,42471.987942,4337.535043749995,3945.39317085714
8,5979.649691076949,143075.9846561111,101969.16194519997,9063.702856090902,11205.144551999998,386053.4686702222,67902.64532625,39810.469346285696,-5052.854620000004,651373.4691730001,478658.6562695866,1032793.120656818,2909.9772440000015,95462.74180055555,1063.4216153749949,697197.249102
9,-18340.561359615356,556230.7877415213,416587.179893,429157.0109669999,477739.1930155,474997.3153651112,5494.1396599999935,199240.47244800004,184.28930399999444,486689.46366755554,260020.62449999998,682498.4143453636,492465.97766800004,416542.9919972222,1000.6765072499948,118827.20526457141
10,-66267.66629446152,144141.68381511112,311680.79272719997,565472.0663222728,114494.33164350002,2033918.0875028889,263337.95434224996,-6998.009850857125,-6429.990370000003,267612.79947277775,978766.2622722001,445636.9929215454,20568.147119999998,72543.07115622223,7870.479736874993,150115.21277885715
