Name,ICAM,p30,2A,p30 + 2A
D2-250212,527.0662375999927,25939.69584800004,1312.5895183333341,2959.680416399995
D2-250212,840.177487599999,85345.12363699998,3986.3039401666683,5176.750963199993
D2-250212,-443.22949780000636,136823.18031466668,17569.334397000006,3391.600112199998
D2-250212,-1074.7289728000014,1541.9004249999998,1056.489845666667,989.6424223999966
D2-250212,24760.201559999994,244361.08407533338,17528.281265833342,11925.419861799994
D2-250212,1359.5696471999981,1959.218181333381,18924.676770500002,26369.0697716
D2-250212,4309.575095999993,124556.66471900002,26313.463570333333,42972.939276
D2-250212,49.60302779999802,94169.32098333335,12226.2905655,7246.5179699999935
D2-250212,4082.3903119999923,667094.9070170001,15293.679521833335,798.290656799998
D2-250212,26901.457181399994,812156.5013683335,12350.235726499996,4628.033577199996
D2-250212,3410.889897599999,267897.8593456667,5012.189739999998,-595.3060332000023
D2-250212,9876.308919399984,117976.70749133336,-1495.2629625000009,5090.546464199997
D2-250212,3398.4620843999983,92925.05395200002,24207.606429666663,20452.166820399994
D2-250212,17773.645247999997,3358.7625280000175,16465.807884333335,18228.977852399992
D1-150125,2755.294985333334,13576.528672,1602.8804045000034,70838.41600800001
D1-150125,-10081.878485000008,732.2533000000021,2334.4579118999973,3395.500757800004
D1-150125,2100.545483333335,18318.709281000003,-159.9288869000011,16191.9003939
D1-150125,-5199.62574166667,-2925.4586179999988,4382.790166400002,364.63354289999916
D1-150125,1551.636120999996,47934.30505600001,336.7006892999998,2584.571452299999
D1-150125,1285.973941999997,21316.156200000005,4161.745274499999,-291.8496255000009
D1-150125,1585.8680333333323,-1226.4614999999976,12150.888211600002,14810.171226000006
D1-150125,2895.555236,79396.65575600002,11686.09747139999,61194.402249499995
D1-150125,-1770.100072000001,425164.625109,3469.8539366999976,79567.18697699999
D1-150125,2194.577996666667,349.71408900000097,225.75987089999398,4274.148106499997
D1-150125,3642.2563500000106,4755.866586000004,6288.143625299999,1664.8106552999998
D1-150125,-4910.238746666662,237829.04308800003,19500.3671388,47764.5596091
D1-150125,41550.70821333333,24409.438788000003,2951.5208151000006,12695.1889372
D1-150125,552.5232950000009,-3236.912279999997,12789.0045426,4866.179899500003
D1-150125,782.4344873333357,208464.28128400003,1715.5694024999975,-2193.0444107000003
D1-150125,645.4340373333398,27497.92908,3353.5325890999993,109186.21274520001
D1-150125,1105.2657800000015,20219.123174,6961.172637999996,33026.42983979999
D1-150125,-23708.810410666672,91222.843945,1498.375900000001,2302.8502668
D1-150125,-14026.87146333333,160404.662934,11184.1599913,7286.043080400006
D1-150125,-6350.555194666667,-7806.265500999994,-4834.866604800001,3688.338479099999
D1-150125,5830.873715333335,11368.246566000005,7659.006027000003,1085.7941554999998
D1-150125,2188.525397999998,43894.8415,12469.74273279999,7955.609779800005
D1-150125,-15876.184090666677,40507.749056000015,-2590.4554147000017,27076.6727655
D1-150125,141612.99878733332,42822.341799,1760.2125480000032,9440.674785900002
D1-150125,9090.855735999998,79108.76708299998,2121.698825199999,-714.6374504999985
D1-250214,14816.095980000002,73165.47020000001,7644.2488954999935,6278.031436250003
D1-250214,3967.900706000004,13776.495616,-3954.439169250003,10697.00132475
D1-250214,20245.603614000007,16533.193349,4582.182851749996,65242.98613050001
D1-250214,13690.289404000006,89024.91811199998,20039.249820499987,17864.743365000002
D1-250214,3698.7165600000044,29671.104030000006,8673.186722499988,10503.11083537501
D1-250214,6127.024953000004,647074.742258,3816.6089879999963,44779.32913124374
D1-250214,4519.612070000001,213268.553834,6855.283327499994,37846.79903887502
D1-250214,15428.972900000008,39352.96377,6108.993137499994,22467.075300000004
D1-250214,8712.433716000003,351153.70655999996,15534.921018749956,-2826.909521374997
D1-250214,1479.6474879999987,27139.690105999995,10794.660314749985,16754.179068250007
D1-250214,14709.853048000004,64581.349284,-3017.0326350000105,8371.563355500002
D1-250214,8323.397985000003,6109.396620000001,4720.59475199999,18537.39568637502
D1-250214,22628.026614000002,487577.6789189999,5269.218723749997,26791.403964875004
D1-250214,3385.553350000002,92365.615764,4218.693989249994,2949.7340827500157
D1-250214,12734.563845000004,56814.71798900001,2929.4069279999985,8947.866512750006
D1-250214,5053.914174000001,356342.42482200003,2026.5275962499963,8149.568969250002
D1-250214,1479.6474879999987,15593.655594000007,792.2376562499921,5478.34687125
D1-250214,6922.387520000004,203393.933688,4518.568538749994,54388.11038625002
D1-250214,17600.999423,71244.377352,1506.6389607499987,96667.15739062501
D1-250214,374.337535000006,15705.310323000009,12389.673618749977,42412.24242275
D1-250214,6322.028903999999,89986.78404299999,1319.4177522499813,6707.816283875003
D1-250214,21195.392976000003,59892.723125000004,10840.068366499989,20442.01806675001
