Name,ICAM,p30,PD1,p30 + PD1
D1-150125,26901.457181399994,812156.5013683335,-250.90877487500074,191525.8156177143
D1-150125,840.177487599999,85345.12363699998,6524.411911874999,90486.80229257143
D1-150125,-443.22949780000636,136823.18031466668,2171.2200168749987,2782.2198732857105
D1-150125,-1074.7289728000014,1541.9004249999998,9005.41461837499,455.81473671428466
D1-150125,24760.201559999994,244361.08407533338,2437.773168374999,218012.10608628573
D1-150125,1359.5696471999981,1959.218181333381,1280.2123218750003,552497.3826321427
D1-150125,4309.575095999993,124556.66471900002,7671.869472374994,210924.6901525714
D1-150125,527.0662375999927,25939.69584800004,953.6760956249982,104176.79146457143
D1-150125,4082.3903119999923,667094.9070170001,109.53243574999942,917.1128169999974
D1-150125,3410.889897599999,267897.8593456667,2987.2859506249806,38256.97473
D1-150125,9876.308919399984,117976.70749133336,4272.305285625,385412.70149957144
D1-150125,3398.4620843999983,92925.05395200002,2772.897314624999,21455.283949714285
D1-150125,17773.645247999997,3358.7625280000175,-1127.2797510000091,201804.56567814286
D1-150125,49.60302779999802,94169.32098333335,815.3974269999981,442668.938549
D2-160125,2194.577996666667,349.71408900000097,-158.1176400000004,289.29526744443865
D2-160125,-1770.100072000001,425164.625109,4939.790819999998,10375.812217777773
D2-160125,2895.555236,79396.65575600002,-2155.9742890000016,-26.430904000002556
D2-160125,1585.8680333333323,-1226.4614999999976,9284.793584999992,1299.076386666664
D2-160125,-5199.62574166667,-2925.4586179999988,27786.437288999998,-2137.215088333338
D2-160125,1551.636120999996,47934.30505600001,5024.866252000003,605.0908951111105
D2-160125,3642.2563500000106,4755.866586000004,423.22500000000036,23403.125107999993
D2-160125,2100.545483333335,18318.709281000003,-737.6344160000008,224778.40628211113
D2-160125,-10081.878485000008,732.2533000000021,1340.714627999998,27952.986493555552
D2-160125,2755.294985333334,13576.528672,3884.6095019999993,-1569.2320153333385
D2-160125,1285.973941999997,21316.156200000005,2557.589409999997,66159.37193088888
D2-160125,-4910.238746666662,237829.04308800003,199418.45819400004,7731.241781999997
D2-160125,782.4344873333357,208464.28128400003,1043.2659559999993,243475.14165577776
D2-160125,552.5232950000009,-3236.912279999997,-429.25270300000193,-228.3844863333361
D2-160125,645.4340373333398,27497.92908,4246.904639999997,33423.69940311111
D2-160125,1105.2657800000015,20219.123174,2133.096809999999,4386.230300888887
D2-160125,-23708.810410666672,91222.843945,4606.209771999998,332901.3189631111
D2-160125,-6350.555194666667,-7806.265500999994,3568.535876999995,312599.89199133334
D2-160125,5830.873715333335,11368.246566000005,972.4639220000026,-1662.1125482222233
D2-160125,2188.525397999998,43894.8415,525.3931200000006,139969.70502255554
D2-160125,-15876.184090666677,40507.749056000015,-1015.9198740000029,1384.4838433333316
D2-160125,141612.99878733332,42822.341799,-1348.4250600000087,3811.095839444444
D2-160125,9090.855735999998,79108.76708299998,-1556.756478000003,3938.67827611111
D2-160125,41550.70821333333,24409.438788000003,3987.2606099999994,109.68978188888832
D2-160125,-14026.87146333333,160404.662934,9062.573772000003,5743.229738555554
D1-250206,-1483.2303360000042,205192.05344583336,123984.82009433334,103234.93349333332
D1-250206,254305.27976360003,171683.3771455,3222.238476666669,218069.20109333337
D1-250206,26014.32407712857,20398.42448416668,68044.57762666668,35429.25849866667
D1-250206,-1586.1092422000002,84060.71442816667,970.3635791666748,4301.271252000013
D1-250206,-1443.9403704000033,264436.5393216667,-251.6516546666644,3164.473397666672
D1-250206,159.54664559999765,1833.3643845000042,25511.842266666667,63245.036810666665
D1-250206,-945.5749967999982,-7194.776436166656,9175.336312666674,874074.0465733333
D1-250206,-878.8682176000038,203396.80803833334,259720.97205416663,35013.22091233333
D1-250206,-1116.5735471999997,733546.0426739999,90328.83217433334,182958.543404
D1-250206,122133.855242,35357.83370416667,1424.456366666669,120810.89500433335
D1-250206,-1194.8035391999983,252191.06999950003,116452.36010833335,-549.3533899999966
D1-250206,-658.4400124000058,231970.16777549998,1969.743350500008,58503.03085666668
D1-250206,-1612.982514000003,267460.38110249996,179814.06541083337,77956.464086
D1-250206,-66.61417000000438,3669.4539058333394,35708.421101500004,58975.817948333344
D2-250207,-29212.72501000001,277192.878949,25543.046496000003,178789.3954204445
D2-250207,10974.871525999995,4937.602875555556,152285.68857,123875.29050733337
D2-250207,346785.04955999996,272125.75678600004,-1737.4494020000002,353787.98806266667
D2-250207,-1811.3823140000022,132376.38899755556,8161.982640000002,142354.32573911114
D2-250207,27554.062094999987,2482273.4244,-1326.8077680000006,1312900.5136146669
D2-250207,-19082.259156000007,1225328.9962116666,463425.68596999993,1113652.5120962223
D2-250207,-8820.665925000005,1457241.2158911112,13799.809503999999,1261849.5875786666
D2-250207,-3198.0276430000013,1725279.417674222,219871.372005,1027655.1872735556
D2-250207,-13837.795365000005,368671.70537555555,492465.97766800004,328202.1846577778
D2-250207,-1720.3645520000027,220075.91087777776,51575.91827100001,140714.18127555557
D2-250207,-13169.761054000002,48751.45253044444,79480.902375,461824.0160416667
D2-250207,-13157.846256000004,243.36684866666474,313606.734008,124988.36588911111
D2-250207,-11535.23857200001,712416.2658881111,27954.790080000006,303758.6590198889
D2-250207,-6429.990370000003,361634.03738222225,350013.00147,1079245.664943
D2-250207,-29343.001512000017,116301.78432000002,1375.737509999999,72543.07115622223
D2-250207,116375.76509399997,162618.39140022223,347506.27912,1287168.6741104445
D2-250207,591922.058964,87735.92420266668,2909.9772440000015,564339.0282751112
D2-250207,96245.494379,236836.61226555557,-1050.5384599999961,551122.5849677777
D2-250207,-9623.670880000005,455575.91202355555,195728.532384,371531.4869658889
D2-250207,-9730.827570000005,319815.8712291111,53219.60219100001,95084.68529266666
D2-250207,19330.965926999983,370390.64872055553,144058.29611300002,416542.9919972222
D2-250207,-13879.441954000002,533999.7442966666,499337.96170799993,938548.4225310001
D2-250207,-34905.53173200002,751135.4227229999,84350.06949600001,383075.88012966665
D2-250207,-23089.445054000003,267612.79947277775,1073303.5742330002,514792.9976597778
D2-250207,1355.3665609999953,65311.22173644444,82226.60411800002,1537674.0610768888
D2-250207,1069829.69728,432339.26979733334,488563.09664000006,1420363.336726889
D2-250207,184.28930399999444,299923.75629166665,264019.57584800007,305598.08873377775
D2-250207,68102.84266999998,584426.4313795555,13849.151639,174323.81306199997
D2-250207,-14971.430760000003,166725.414051,173924.79938712763,42471.987942
D2-250207,-15665.627785000004,109928.74611777774,8763.526976000005,161901.94316222225
D2-250207,-13273.703949000006,659248.6402387777,162685.69733599998,276369.4853777778
D2-250207,-10588.031136000005,225791.02628877776,6596.4823670000005,109230.16558344444
D2-250207,-14528.07664,141456.83004022224,20568.147119999998,288993.2527587778
D2-250207,137804.38799400002,98304.33273222222,-349.78162500000144,49391.641548888896
D2-250207,-9406.901031000005,706906.883618111,120325.93469000001,721883.5546982222
D2-250207,2487.264559999996,395311.1268124444,44371.854692,193371.66761022224
D2-250207,-20081.678496,451448.6280556805,459923.61008,511317.74114422215
D2-250207,-2357.5056000000004,486689.46366755554,1931.7905900000005,1241890.7369845556
D2-250207,-12122.604875000008,128382.77328333333,18749.140704,493961.714208588
D2-250207,-6521.359295000002,233875.72375844445,240024.367396,626025.7053127778
D2-250207,-13871.169496000002,70294.32736000001,169606.13622000001,458827.91750377766
D2-250207,58142.2579450196,380928.14259966667,366961.420878,307702.8892955556
D2-250207,-5052.854620000004,150065.5338133333,573312.06921,197634.92472933338
D2-250207,31066.449858,1194454.7462222222,22821.93705,745677.8665425556
D2-250207,-28367.14125,1064515.6560712222,-946.1430000000037,327662.8656191111
D2-250207,224666.56010700003,401640.0356515556,2928.441319999998,341203.9757477778
D2-250207,-1469.5115490000026,432168.3938491111,55079.54368,354324.5416511111
D2-250212,7357.380181499993,552773.7741245556,-937.8775812499953,521779.7602325
D2-250212,-2183.1195460000017,39214.402890666664,53324.61599500001,991386.594639
D2-250212,300.75961299999835,468151.2995912223,-2501.09969775,874369.928345
D2-250212,471.11028299999816,239066.94657022224,49582.4002785,1667032.424445
D2-250212,5911.035285999998,419096.17763866665,-655.7633747500004,831758.2067915
D2-250212,-1663.1614365000005,42177.301032222225,-3056.838470249997,512519.0334165001
D2-250212,-361.03596200000175,17999.47631833334,4098.122595000001,1056825.2282825
D2-250212,-556.0809410000002,66236.50733211111,-4006.5466882500004,878982.6593575
D2-250212,3101.2867259999985,14431.46718288889,22853.599512500004,277404.2581885
D2-250212,-1788.4739924999994,321337.32012644445,1037.6372655000014,291980.84945000004
D2-250212,-3663.349725,155101.96701488888,1931.7625290000033,141117.6212935
D2-250212,371806.23138749995,42767.88213266668,13874.418588249995,525075.5173785
D2-250212,-920.7697555000013,102364.19406400001,312.73741275000157,1167529.6874520003
D2-250212,-1516.8632520000028,9573.92466966667,-15821.55767175,1607734.7462475002
D2-250212,-365.27721300000485,43205.43318944444,-4709.27229275,476937.62183350004
D2-250212,12466.288278499997,126588.00115833335,2075.0696370000023,952281.6540875001
D2-250212,3718.680426499999,536.0641153333381,537.7776135000058,1521.1245230000059
D2-250212,1375.3044374999954,40216.37297500002,-121.33939949999876,1338713.5134824999
D2-250212,-6953.184664500004,158661.0477225156,-1441.6447592499972,876512.6934409998
